index,path,name
17,_liguanxi_mini_smart_car,_自动驾驶_迷你智能车Liguanxi_smart_car
18,_qwqoffice_pulse_wave_and_heart_rate_display_based_on_ppg,基于PPG的脉搏波及心率显示
19,_bryan_he_usb_ps_v30,USB可调电源V3
20,_ilx1_multi_pad,_MultiPad_stm32f103vet6_效率桌面控制键盘
19,_bryan_he_usb_ps_v30,USB可调电源V3
20,_ilx1_multi_pad,_MultiPad_stm32f103vet6_效率桌面控制键盘
16,_lyg0927_cyberwand_stm32_convolutional_ne,赛博魔杖_STM32卷积神经网络
17,_liguanxi_mini_smart_car,_自动驾驶_迷你智能车Liguanxi_smart_car
18,_qwqoffice_pulse_wave_and_heart_rate_display_based_on_ppg,基于PPG的脉搏波及心率显示
19,_bryan_he_usb_ps_v30,USB可调电源V3
20,_ilx1_multi_pad,_MultiPad_stm32f103vet6_效率桌面控制键盘
21,_qzc13457_qpad,模块化平板电脑_QPad
22,_ran_pang_multifunctional_keyboard,承载我所有幻想的键盘
23,_kakaka_lao_ban_jian_yi_wei_ke_bian_chen,神奇按钮2.0__MagiClick___可编程键盘[1]
24,_lmppbba_ecg_monitoring_defibrillator_with_12_leads,心电监护（含12导联功能）
25,_tomosawa_mynova_smartpower,DELL服务器电源智能取电盒
26,_leichaolin_3kw_totem_pole_pfc_with_silicon_,碳化硅3KW图腾柱PFC
27,_xzqiaochu_question_b_of_2023_electric_tour,2023电赛B题_基于立创天空星开发板
28,_dter_atomheat,_星火计划_悬赏赛道_MINI加热台_AtomHeat
29,_zz56464123455_lamp_wizard,交互式智能台灯
30,_li_chuang_kai_fa_ban_cw32_shu_zi_dian_ya_dian_liu_biao_kai_fa_ban_tao_jian,立创·地文星CW32数字电压电流表扩展板
31,_bryan_he_usb_dc_ps,_星火计划_USB可编程电源_功率监测
32,_jiajun.gao_li_chuang_qi_jian_shou_na_he,_开源_立创器件收纳盒,纯PCB版本
33,_zerox650_shu_zi_sheng_ming_ka_usb3_0,数字生命卡USB3.0
34,_z.sir_letian_robot2,LeTian_robot2（轮腿机器人）
35,_pomin_integrated_desktop_tool_windowsh,集成Windows_Hello指纹、DIAL、HUB的桌面工具
36,_leo_lin_usb3_dock_with_dc_dc_converter,具有独立稳压电源的USB3.2拓展盒
37,_18511895537_summer_ice_cellar,小北极の冰冰杯（夏）
38,_dbhua_design_of_electronic_badges_for_meetings,会议用电子胸牌设计
39,_l64481000_stc32g12k128_based_core_developm,基于STC32G12K128的核心开发板
40,_limengmeng12345_ji_chu_ying_usb_dian_ya_biao,_训练营官方案例_USB电流表
41,_li_chuang_kai_fa_ban_li_chuang_di_wen_xing_cw32f030c8t6_kai_fa_ban,立创·地文星CW32F030C8T6开发板
42,_18511895537_time_management_master_and_rubik,时间管理大师の魔方(Ⅰ)
43,_ytm899_mmdvm_hs_dual_hat,mmdvm_hs_dual_hat双工板
