index,name,page_url,project_url,author,project,id
0,立创·泰山派开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-tai-shan-pai-kai-fa-ban,https://pro.lceda.cn/editor#id=7360e73de5dd428e9f29e10573f2d8ac,li-chuang-kai-fa-ban,li-chuang-tai-shan-pai-kai-fa-ban,7360e73de5dd428e9f29e10573f2d8ac
1,立创·梁山派开发板,https://oshwhub.com/li-chuang-kai-fa-ban/liang-shan,https://pro.lceda.cn/editor#id=0c46759837334318aa4882d6d37f96fa,li-chuang-kai-fa-ban,liang-shan,0c46759837334318aa4882d6d37f96fa
2,3D打印机PID恒温热风干燥箱,https://oshwhub.com/lvyiwuhen/3d-printer-pid-constant-temperat,https://pro.lceda.cn/editor#id=63658354a1d34f5b8f5b2a4768569db2,lvyiwuhen,3d-printer-pid-constant-temperat,63658354a1d34f5b8f5b2a4768569db2
3,UIPE 1.47寸全面屏 C2C 伏安表,https://oshwhub.com/movecall/avpe147-inch-full-screen-c2c-voltammeter,https://pro.lceda.cn/editor#id=1eca5385dc5245708e40ac692f80aac3,movecall,avpe147-inch-full-screen-c2c-voltammeter,1eca5385dc5245708e40ac692f80aac3
4,极客巢全波段收音机V5A开源工程,https://oshwhub.com/alec_cy/geek-nest-full-band-radio-v5a-op,https://pro.lceda.cn/editor#id=05a14c9dc8db4cee9b35173a22f56af3,alec_cy,geek-nest-full-band-radio-v5a-op,05a14c9dc8db4cee9b35173a22f56af3
5,简易拍立得设计,https://oshwhub.com/bright_ml/simple-polaroid-design,https://pro.lceda.cn/editor#id=e65ac6fc229043aaaa88da0157cfefa4,bright_ml,simple-polaroid-design,e65ac6fc229043aaaa88da0157cfefa4
6,基于泰山派的游戏掌机,https://oshwhub.com/greentor/based-on-tarzan-pie-game-handset,https://pro.lceda.cn/editor#id=52ecabca907a4f3e81e3d4b7f5aa6fed,greentor,based-on-tarzan-pie-game-handset,52ecabca907a4f3e81e3d4b7f5aa6fed
7,ESP-Toothbrush,https://oshwhub.com/esp-college/esp-toothbrush,https://pro.lceda.cn/editor#id=8898e9402945409f91af39e8a222215b,esp-college,esp-toothbrush,8898e9402945409f91af39e8a222215b
8,基于ESP32C3+PT6315的VFD显示模组,https://oshwhub.com/offical-hang/ESP32mu-kuai-hua-zhi-neng-cha-zu,https://pro.lceda.cn/editor#id=982eb2e08b864bcda811cdc3ca8b83c1,offical-hang,ESP32mu-kuai-hua-zhi-neng-cha-zu,982eb2e08b864bcda811cdc3ca8b83c1
8,基于ESP32C3+PT6315的VFD显示模组,https://oshwhub.com/offical-hang/ESP32mu-kuai-hua-zhi-neng-cha-zu,https://pro.lceda.cn/editor#id=982eb2e08b864bcda811cdc3ca8b83c1,offical-hang,ESP32mu-kuai-hua-zhi-neng-cha-zu,982eb2e08b864bcda811cdc3ca8b83c1
9,基于CW32F030的电压电流表,https://oshwhub.com/rushairer/cw32-voltage-ammeter-training-ca,https://pro.lceda.cn/editor#id=ab1d1fbbb123436c8e67330577392f61,rushairer,cw32-voltage-ammeter-training-ca,ab1d1fbbb123436c8e67330577392f61
10,泰山派智能手机设计,https://oshwhub.com/zwxb/based-on-rk3566-taishan-pie-dolp,https://pro.lceda.cn/editor#id=d9c7bded54d1486a8fb8779223cbd7e4,zwxb,based-on-rk3566-taishan-pie-dolp,d9c7bded54d1486a8fb8779223cbd7e4
11,杰理彩色丝印开发板 JL AC7916A 蓝牙+WIFI双核,https://oshwhub.com/aknice/jie-li-ac7916a-he-xin-ban,https://pro.lceda.cn/editor#id=ad3c698c53114368b0a27310c0315eb4,aknice,jie-li-ac7916a-he-xin-ban,ad3c698c53114368b0a27310c0315eb4
12,Avaota A1 八核 AIoT 开发板,https://oshwhub.com/100askteam/avaota-pi-a_transfer,https://pro.lceda.cn/editor#id=334282a2564344558c02fd113dfd2c2d,100askteam,avaota-pi-a_transfer,334282a2564344558c02fd113dfd2c2d,
13,ESP-Dongle,https://oshwhub.com/esp-college/esp-dongle,https://pro.lceda.cn/editor#id=93fa98017b664f0bb577c6ed9966a06e,esp-college,esp-dongle,93fa98017b664f0bb577c6ed9966a06e
14,【自动驾驶】迷你智能车Liguanxi-smart-car,https://oshwhub.com/liguanxi/mini-smart-car,https://pro.lceda.cn/editor#id=e6c546f3969a42438c396b389bb43940,liguanxi,mini-smart-car,e6c546f3969a42438c396b389bb43940
15,基于PPG的脉搏波及心率显示,https://oshwhub.com/qwqoffice/pulse-wave-and-heart-rate-display-based-on-ppg,https://pro.lceda.cn/editor#id=ebbb28376a464781be4c9f4b5fb99fd5,qwqoffice,pulse-wave-and-heart-rate-display-based-on-ppg,ebbb28376a464781be4c9f4b5fb99fd5
16,USB可调电源V3,https://oshwhub.com/bryan_he/usb-ps-v30,https://pro.lceda.cn/editor#id=03b939e5e6e544408e0879202ebc20ce,bryan_he,usb-ps-v30,03b939e5e6e544408e0879202ebc20ce
17,【MultiPad】stm32f103vet6 效率桌面控制键盘,https://oshwhub.com/ilx1/multi-pad,https://pro.lceda.cn/editor#id=45a9068ddc084e5296e685734e5381b8,ilx1,multi-pad,45a9068ddc084e5296e685734e5381b8
18,模块化平板电脑-QPad,https://oshwhub.com/qzc13457/qpad,https://pro.lceda.cn/editor#id=c55e9e43343f4e97bbd72c75ee6ab0a4,qzc13457,qpad,c55e9e43343f4e97bbd72c75ee6ab0a4
19,承载我所有幻想的键盘,https://oshwhub.com/ran-pang/multifunctional-keyboard,https://pro.lceda.cn/editor#id=6f0c151b366d46fe90126093dd604afe,ran-pang,multifunctional-keyboard,6f0c151b366d46fe90126093dd604afe
20,神奇按钮2.0  MagiClick   可编程键盘[1],https://oshwhub.com/kakaka/lao-ban-jian-yi-wei-ke-bian-chen,https://pro.lceda.cn/editor#id=7e2bf2dbc15240308afde59948f614ce,kakaka,lao-ban-jian-yi-wei-ke-bian-chen,7e2bf2dbc15240308afde59948f614ce
21,心电监护（含12导联功能）,https://oshwhub.com/lmppbba/ecg-monitoring-defibrillator-with-12-leads,https://pro.lceda.cn/editor#id=6780d69e8ae24f2e9b5ada4a5a2dff49,lmppbba,ecg-monitoring-defibrillator-with-12-leads,6780d69e8ae24f2e9b5ada4a5a2dff49
22,DELL服务器电源智能取电盒,https://oshwhub.com/tomosawa/mynova-smartpower,https://pro.lceda.cn/editor#id=1634281d284548cd9a6d2445d96a4d49,tomosawa,mynova-smartpower,1634281d284548cd9a6d2445d96a4d49
23,碳化硅3KW图腾柱PFC,https://oshwhub.com/leichaolin/3kw-totem-pole-pfc-with-silicon-,https://pro.lceda.cn/editor#id=15ea4e7bdef94ddd9da3039b7f346008,leichaolin,3kw-totem-pole-pfc-with-silicon-,15ea4e7bdef94ddd9da3039b7f346008
23,碳化硅3KW图腾柱PFC,https://oshwhub.com/leichaolin/3kw-totem-pole-pfc-with-silicon-,https://pro.lceda.cn/editor#id=15ea4e7bdef94ddd9da3039b7f346008,leichaolin,3kw-totem-pole-pfc-with-silicon-,15ea4e7bdef94ddd9da3039b7f346008
24,2023电赛B题-基于立创天空星开发板,https://oshwhub.com/xzqiaochu/question-b-of-2023-electric-tour,https://pro.lceda.cn/editor#id=7bda62af5fb047f282ebadeff45357be,xzqiaochu,question-b-of-2023-electric-tour,7bda62af5fb047f282ebadeff45357be
25,【星火计划-悬赏赛道】MINI加热台-AtomHeat,https://oshwhub.com/dter/atomheat,https://pro.lceda.cn/editor#id=5dbbf18a91b9440b9e27fe19de37ff9d,dter,atomheat,5dbbf18a91b9440b9e27fe19de37ff9d
26,交互式智能台灯,https://oshwhub.com/zz56464123455/lamp-wizard,https://pro.lceda.cn/editor#id=20c798c4a5a446dd80f391628fadfe2e,zz56464123455,lamp-wizard,20c798c4a5a446dd80f391628fadfe2e
27,立创·地文星CW32数字电压电流表扩展板,https://oshwhub.com/li-chuang-kai-fa-ban/cw32-shu-zi-dian-ya-dian-liu-biao-kai-fa-ban-tao-jian,https://pro.lceda.cn/editor#id=52c7c61c6f9245c7b58bd2b55911d5ae,li-chuang-kai-fa-ban,cw32-shu-zi-dian-ya-dian-liu-biao-kai-fa-ban-tao-jian,52c7c61c6f9245c7b58bd2b55911d5ae
28,【星火计划】USB可编程电源/功率监测,https://oshwhub.com/bryan_he/usb_dc_ps,https://pro.lceda.cn/editor#id=ddcc963f6e234ee5b25bdf62d13c4a6b,bryan_he,usb_dc_ps,ddcc963f6e234ee5b25bdf62d13c4a6b
29,【开源】立创器件收纳盒,纯PCB版本,https://oshwhub.com/jiajun.gao/li-chuang-qi-jian-shou-na-he,https://pro.lceda.cn/editor#id=f24ab5ae594a4e6abb6482158aa1031e,jiajun.gao,li-chuang-qi-jian-shou-na-he,f24ab5ae594a4e6abb6482158aa1031e
30,数字生命卡USB3.0,https://oshwhub.com/zerox650/shu-zi-sheng-ming-ka-usb3-0,https://pro.lceda.cn/editor#id=2ebcd483df5c452db8171cfb9d59d4ad,zerox650,shu-zi-sheng-ming-ka-usb3-0,2ebcd483df5c452db8171cfb9d59d4ad
31,LeTian-robot2（轮腿机器人）,https://oshwhub.com/z.sir/letian-robot2,https://pro.lceda.cn/editor#id=63b2d16bc22145a89cf8bc5c9d9203d6,z.sir,letian-robot2,63b2d16bc22145a89cf8bc5c9d9203d6
32,集成Windows Hello指纹、DIAL、HUB的桌面工具,https://oshwhub.com/pomin/integrated-desktop-tool-windowsh,https://pro.lceda.cn/editor#id=ff34151097f4478694ccd06e963b33a5,pomin,integrated-desktop-tool-windowsh,ff34151097f4478694ccd06e963b33a5
33,具有独立稳压电源的USB3.2拓展盒,https://oshwhub.com/leo_lin/usb3-dock-with-dc-dc-converter,https://pro.lceda.cn/editor#id=8fce9ebd515d487e8062a3baef0a6452,leo_lin,usb3-dock-with-dc-dc-converter,8fce9ebd515d487e8062a3baef0a6452
34,小北极の冰冰杯（夏）,https://oshwhub.com/18511895537/summer-ice-cellar,https://pro.lceda.cn/editor#id=2a1037fa6e074333920b5f1921caefc8,18511895537,summer-ice-cellar,2a1037fa6e074333920b5f1921caefc8
35,会议用电子胸牌设计,https://oshwhub.com/dbhua/design-of-electronic-badges-for-meetings,https://pro.lceda.cn/editor#id=e9787ca92f4f44e1a97486b9658219ff,dbhua,design-of-electronic-badges-for-meetings,e9787ca92f4f44e1a97486b9658219ff
36,基于STC32G12K128的核心开发板,https://oshwhub.com/l64481000/stc32g12k128-based-core-developm,https://pro.lceda.cn/editor#id=1443d07233c94fc18d0f9854a32a519f,l64481000,stc32g12k128-based-core-developm,1443d07233c94fc18d0f9854a32a519f
37,【训练营官方案例】USB电流表,https://oshwhub.com/limengmeng12345/ji-chu-ying-usb-dian-ya-biao,https://pro.lceda.cn/editor#id=43d5423e75164c9ca7365947b4a11016,limengmeng12345,ji-chu-ying-usb-dian-ya-biao,43d5423e75164c9ca7365947b4a11016
38,立创·地文星CW32F030C8T6开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-di-wen-xing-cw32f030c8t6-kai-fa-ban,https://pro.lceda.cn/editor#id=6b1bba015e8c4feaaf119210f615b4c2,li-chuang-kai-fa-ban,li-chuang-di-wen-xing-cw32f030c8t6-kai-fa-ban,6b1bba015e8c4feaaf119210f615b4c2
39,时间管理大师の魔方(Ⅰ),https://oshwhub.com/18511895537/time-management-master-and-rubik,https://pro.lceda.cn/editor#id=6c14182299fd414cbc8778dcb9412827,18511895537,time-management-master-and-rubik,6c14182299fd414cbc8778dcb9412827
40,mmdvm_hs_dual_hat双工板,https://oshwhub.com/ytm899/mmdvm_hs_dual_hat,https://pro.lceda.cn/editor#id=78e55384c0af44c5928607e8579d215c,ytm899,mmdvm_hs_dual_hat,78e55384c0af44c5928607e8579d215c
41,便携式半导体冰箱 PCR01,https://oshwhub.com/abs0/pian-xie-shi-ban-dao-ti-bing-xia,https://pro.lceda.cn/editor#id=6ebd8f68b4194b588e2ef7fdb7ead176,abs0,pian-xie-shi-ban-dao-ti-bing-xia,6ebd8f68b4194b588e2ef7fdb7ead176
42,基于CH334H与AT32F403A的电流检测USB HUB,https://oshwhub.com/fanhuacloud/ch334h_dev,https://pro.lceda.cn/editor#id=b80d574908d04f438b9cb7626e7ee504,fanhuacloud,ch334h_dev,b80d574908d04f438b9cb7626e7ee504
43,立创·地猛星MSPM0G3507开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-di-meng-xing-mspm0g3507-kai-fa-ban,https://pro.lceda.cn/editor#id=163d9024e99841648c1fbf1e87ef3ac8,li-chuang-kai-fa-ban,li-chuang-di-meng-xing-mspm0g3507-kai-fa-ban,163d9024e99841648c1fbf1e87ef3ac8
