index,name,url
0,立创·泰山派开发板,/li-chuang-kai-fa-ban/li-chuang-tai-shan-pai-kai-fa-ban
1,立创·梁山派开发板,/li-chuang-kai-fa-ban/liang-shan
2,3D打印机PID恒温热风干燥箱,/lvyiwuhen/3d-printer-pid-constant-temperat
3,UIPE 1.47寸全面屏 C2C 伏安表,/movecall/avpe147-inch-full-screen-c2c-voltammeter
4,极客巢全波段收音机V5A开源工程,/alec_cy/geek-nest-full-band-radio-v5a-op
5,简易拍立得设计,/bright_ml/simple-polaroid-design
6,基于泰山派的游戏掌机,/greentor/based-on-tarzan-pie-game-handset
7,ESP-Toothbrush,/esp-college/esp-toothbrush
8,基于ESP32C3+PT6315的VFD显示模组,/offical-hang/ESP32mu-kuai-hua-zhi-neng-cha-zu
9,基于CW32F030的电压电流表,/rushairer/cw32-voltage-ammeter-training-ca
10,COM端口号可视化集线器,/heyh/comportnumber-visualization-hub
11,泰山派智能手机设计,/zwxb/based-on-rk3566-taishan-pie-dolp
12,杰理彩色丝印开发板 JL AC7916A 蓝牙+WIFI双核,/aknice/jie-li-ac7916a-he-xin-ban
13,Avaota A1 八核 AIoT 开发板,/100askteam/avaota-pi-a_transfer
14,【全网首发】X86电脑主板,/oshwhub/dian-nao-zhu-ban
15,ESP-Dongle,/esp-college/esp-dongle
16,赛博魔杖_STM32卷积神经网络,/lyg0927/cyberwand-stm32-convolutional-ne
17,【自动驾驶】迷你智能车Liguanxi-smart-car,/liguanxi/mini-smart-car
18,基于PPG的脉搏波及心率显示,/qwqoffice/pulse-wave-and-heart-rate-display-based-on-ppg
19,USB可调电源V3,/bryan_he/usb-ps-v30
20,【MultiPad】stm32f103vet6 效率桌面控制键盘,/ilx1/multi-pad
21,模块化平板电脑-QPad,/qzc13457/qpad
22,承载我所有幻想的键盘,/ran-pang/multifunctional-keyboard
23,神奇按钮2.0  MagiClick   可编程键盘[1],/kakaka/lao-ban-jian-yi-wei-ke-bian-chen
24,心电监护（含12导联功能）,/lmppbba/ecg-monitoring-defibrillator-with-12-leads
25,DELL服务器电源智能取电盒,/tomosawa/mynova-smartpower
26,碳化硅3KW图腾柱PFC,/leichaolin/3kw-totem-pole-pfc-with-silicon-
27,2023电赛B题-基于立创天空星开发板,/xzqiaochu/question-b-of-2023-electric-tour
28,【星火计划-悬赏赛道】MINI加热台-AtomHeat,/dter/atomheat
29,交互式智能台灯,/zz56464123455/lamp-wizard
30,立创·地文星CW32数字电压电流表扩展板,/li-chuang-kai-fa-ban/cw32-shu-zi-dian-ya-dian-liu-biao-kai-fa-ban-tao-jian
31,【星火计划】USB可编程电源/功率监测,/bryan_he/usb_dc_ps
32,"【开源】立创器件收纳盒,纯PCB版本",/jiajun.gao/li-chuang-qi-jian-shou-na-he
33,数字生命卡USB3.0,/zerox650/shu-zi-sheng-ming-ka-usb3-0
34,LeTian-robot2（轮腿机器人）,/z.sir/letian-robot2
35,集成Windows Hello指纹、DIAL、HUB的桌面工具,/pomin/integrated-desktop-tool-windowsh
36,具有独立稳压电源的USB3.2拓展盒,/leo_lin/usb3-dock-with-dc-dc-converter
37,小北极の冰冰杯（夏）,/18511895537/summer-ice-cellar
38,会议用电子胸牌设计,/dbhua/design-of-electronic-badges-for-meetings
39,基于STC32G12K128的核心开发板,/l64481000/stc32g12k128-based-core-developm
40,【训练营官方案例】USB电流表,/limengmeng12345/ji-chu-ying-usb-dian-ya-biao
41,立创·地文星CW32F030C8T6开发板,/li-chuang-kai-fa-ban/li-chuang-di-wen-xing-cw32f030c8t6-kai-fa-ban
42,时间管理大师の魔方(Ⅰ),/18511895537/time-management-master-and-rubik
43,mmdvm_hs_dual_hat双工板,/ytm899/mmdvm_hs_dual_hat
44,便携式半导体冰箱 PCR01,/abs0/pian-xie-shi-ban-dao-ti-bing-xia
45,基于CH334H与AT32F403A的电流检测USB HUB,/fanhuacloud/ch334h_dev
46,立创·地猛星MSPM0G3507开发板,/li-chuang-kai-fa-ban/li-chuang-di-meng-xing-mspm0g3507-kai-fa-ban
47,智能手表OV-Watch,/no_chicken/zhi-neng-shou-biao-OV-Watch_V2.2
48,立创DAPLINK调试工具,/li-chuang-kai-fa-ban/li-chuang-daplink-diao-shi-gong-ju
49,【很新但很旧】如何用最古老的技术造一台现代手机？,/honglin/First_CRT_SmartPhone
50,【核辐射能谱仪/γ射线能谱仪】数字多道脉冲幅度分析器,/steve-don/digital_multichannel_analyzer
51,微型滚轮电子尺,/yean/miniature-roller-electronic-ruler
52,并联臂四足机器狗,/cdm0302/parallel-arm-quadruped-robot-dog
53,立创·地阔星STM32F103C8T6开发板,/li-chuang-kai-fa-ban/lichuang-gekuo-star-stm32f103c8t6-development-board
54,年轻人的第一台BB机~,/eedadada/phalange
55,【立创·泰山派】智能投影机-Sony CXN0102,/fengmoxi/taspi-smart-projector
56,8路模拟量采集器2,/18172685113/8-way-analog-quantity-collector-2
57,【立创·地正星MSPM0L1306】开发板,/li-chuang-kai-fa-ban/li-chuang-di-zheng-xing-mspm0l1306-kai-fa-ban
58,泰山派NAS服务器,/yc_chen/taishan-nas-server
59,Da Vinci 3D打印机耗材更改模块,/s-c-o-r-p-i-o-n/da-vinci-3d-da-yin-ji-hao-cai-geng-gai-mo-kuai-xkb
60,立创·ColorEasyDuino开发板,/li-chuang-kai-fa-ban/li-chuang-coloreasyduino-kai-fa-ban
61,ESP32墨水屏MP3收音机阅读器,/jie326513988/ESP32mi-ni-mo-shui-ping-MP3shou-
62,【FL PC】泰山派迷你主机,/flyn/flpc
63,成图大赛样题参考,/course-examples/cheng-tu-da-sai-yang-ti-can-kao
64,柔性灯丝氛围灯,/yaochi/flexible-filament-atmosphere-lamp
65,1.54寸多功能墨水屏,/jie326513988/mo-shui-ping-1-54v1-1
66,UC3842 flyback开关电源设计,/kratosxs/kai-guan-dian-yuan-she-ji-zhuan-ye-ban
67,开关电源实验,/kratosxs/tax-dian-yuan
68,反激变压器绕制专用工程,/kratosxs/fan-ji-bian-ya-qi
69,【星火2】乞光板+驱动器,/yangzen/xing-huo-2-qi-guang-ban-qu-dong-
70,"入门级八通道航模套件,基于国产乐鑫ESP32/8266芯片",/8bitgame/gu-ding-yi-fei-xing-qi-dong-li-b
71,Super Dial 电机旋钮屏—esp32s3—v2,/45coll/a2fff3c71f5d4de2b899c64b152d3da5
72,神之眼S3“Pro”版,/planevina/shen-zhi-yan-xiao-zha-zha-v1-2_esp32ucopy
73,【全网首发】雷电4笔记本电脑显卡坞,/leo_lin/jhl7440-based-lightning-3-graphics-dock
74,【胖妞手机】泰山派RK3566开发板,/li-chuang-kai-fa-ban/tai-shan-pai-pang-niu-shou-ji-kuo-zhan-ban
75,220V/380V双电压输入可调电源输出DC 5-24V,/leichaolin/220v380v-dual-voltage-input-adjustable-power-supply
76,LED大灯泡,/qxqpcb/fu-ke-you-hu-OneShot-Nikode-deng
77,简易数字示波器设计（入门版）,/course-examples/yi-qi-yi-biao-jian-yi-shu-zi-shi-bo-qi-she-ji-cha-jian-ban
78,低成本迷你放电负载,/heyh/mini-discharge-load
79,[iKun请进] 蒸汽朋克小键盘-基于at32f413,/jinjunan/afpad-at
