index,page_name,page_url,project_url,mhtml_name
0,立创·泰山派开发板,https://oshwhub.com/li-chuang-kai-fa-ban/li-chuang-tai-shan-pai-kai-fa-ban,https://pro.lceda.cn/editor#id=7360e73de5dd428e9f29e10573f2d8ac,立创·泰山派开发板
1,立创·梁山派开发板,https://oshwhub.com/li-chuang-kai-fa-ban/liang-shan,https://pro.lceda.cn/editor#id=0c46759837334318aa4882d6d37f96fa,立创·梁山派开发板
2,3D打印机PID恒温热风干燥箱,https://oshwhub.com/lvyiwuhen/3d-printer-pid-constant-temperat,https://pro.lceda.cn/editor#id=63658354a1d34f5b8f5b2a4768569db2,3D打印机PID恒温热风干燥箱
3,UIPE 1.47寸全面屏 C2C 伏安表,https://oshwhub.com/movecall/avpe147-inch-full-screen-c2c-voltammeter,https://pro.lceda.cn/editor#id=1eca5385dc5245708e40ac692f80aac3,UIPE_1.47寸全面屏_C2C_伏安表
4,极客巢全波段收音机V5A开源工程,https://oshwhub.com/alec_cy/geek-nest-full-band-radio-v5a-op,https://pro.lceda.cn/editor#id=05a14c9dc8db4cee9b35173a22f56af3,极客巢全波段收音机V5A开源工程
5,简易拍立得设计,https://oshwhub.com/bright_ml/simple-polaroid-design,https://pro.lceda.cn/editor#id=e65ac6fc229043aaaa88da0157cfefa4,简易拍立得设计
6,基于泰山派的游戏掌机,https://oshwhub.com/greentor/based-on-tarzan-pie-game-handset,https://pro.lceda.cn/editor#id=52ecabca907a4f3e81e3d4b7f5aa6fed,基于泰山派的游戏掌机
7,ESP-Toothbrush,https://oshwhub.com/esp-college/esp-toothbrush,https://pro.lceda.cn/editor#id=8898e9402945409f91af39e8a222215b,ESP_Toothbrush
8,基于ESP32C3+PT6315的VFD显示模组,https://oshwhub.com/offical-hang/ESP32mu-kuai-hua-zhi-neng-cha-zu,https://pro.lceda.cn/editor#id=982eb2e08b864bcda811cdc3ca8b83c1,基于ESP32C3+PT6315的VFD显示模组
9,基于CW32F030的电压电流表,https://oshwhub.com/rushairer/cw32-voltage-ammeter-training-ca,https://pro.lceda.cn/editor#id=ab1d1fbbb123436c8e67330577392f61,基于CW32F030的电压电流表
10,泰山派智能手机设计,https://oshwhub.com/zwxb/based-on-rk3566-taishan-pie-dolp,https://pro.lceda.cn/editor#id=d9c7bded54d1486a8fb8779223cbd7e4,泰山派智能手机设计
11,杰理彩色丝印开发板 JL AC7916A 蓝牙+WIFI双核,https://oshwhub.com/aknice/jie-li-ac7916a-he-xin-ban,https://pro.lceda.cn/editor#id=ad3c698c53114368b0a27310c0315eb4,杰理彩色丝印开发板_JL_AC7916A_蓝牙+WIFI双核
12,Avaota A1 八核 AIoT 开发板,https://oshwhub.com/100askteam/avaota-pi-a_transfer,https://pro.lceda.cn/editor#id=334282a2564344558c02fd113dfd2c2d,Avaota_A1_八核_AIoT_开发板
13,ESP-Dongle,https://oshwhub.com/esp-college/esp-dongle,https://pro.lceda.cn/editor#id=93fa98017b664f0bb577c6ed9966a06e,ESP_Dongle
14,【自动驾驶】迷你智能车Liguanxi-smart-car,https://oshwhub.com/liguanxi/mini-smart-car,https://pro.lceda.cn/editor#id=e6c546f3969a42438c396b389bb43940,_自动驾驶_迷你智能车Liguanxi_smart_car
15,基于PPG的脉搏波及心率显示,https://oshwhub.com/qwqoffice/pulse-wave-and-heart-rate-display-based-on-ppg,https://pro.lceda.cn/editor#id=ebbb28376a464781be4c9f4b5fb99fd5,基于PPG的脉搏波及心率显示
16,USB可调电源V3,https://oshwhub.com/bryan_he/usb-ps-v30,https://pro.lceda.cn/editor#id=03b939e5e6e544408e0879202ebc20ce,USB可调电源V3
17,【MultiPad】stm32f103vet6 效率桌面控制键盘,https://oshwhub.com/ilx1/multi-pad,https://pro.lceda.cn/editor#id=45a9068ddc084e5296e685734e5381b8,_MultiPad_stm32f103vet6_效率桌面控制键盘
18,模块化平板电脑-QPad,https://oshwhub.com/qzc13457/qpad,https://pro.lceda.cn/editor#id=c55e9e43343f4e97bbd72c75ee6ab0a4,模块化平板电脑_QPad
19,承载我所有幻想的键盘,https://oshwhub.com/ran-pang/multifunctional-keyboard,https://pro.lceda.cn/editor#id=6f0c151b366d46fe90126093dd604afe,承载我所有幻想的键盘
20,神奇按钮2.0  MagiClick   可编程键盘[1],https://oshwhub.com/kakaka/lao-ban-jian-yi-wei-ke-bian-chen,https://pro.lceda.cn/editor#id=7e2bf2dbc15240308afde59948f614ce,神奇按钮2.0__MagiClick___可编程键盘[1]
21,心电监护（含12导联功能）,https://oshwhub.com/lmppbba/ecg-monitoring-defibrillator-with-12-leads,https://pro.lceda.cn/editor#id=6780d69e8ae24f2e9b5ada4a5a2dff49,心电监护（含12导联功能）
22,DELL服务器电源智能取电盒,https://oshwhub.com/tomosawa/mynova-smartpower,https://pro.lceda.cn/editor#id=1634281d284548cd9a6d2445d96a4d49,DELL服务器电源智能取电盒
23,碳化硅3KW图腾柱PFC,https://oshwhub.com/leichaolin/3kw-totem-pole-pfc-with-silicon-,https://pro.lceda.cn/editor#id=15ea4e7bdef94ddd9da3039b7f346008,碳化硅3KW图腾柱PFC
24,2023电赛B题-基于立创天空星开发板,https://oshwhub.com/xzqiaochu/question-b-of-2023-electric-tour,https://pro.lceda.cn/editor#id=7bda62af5fb047f282ebadeff45357be,2023电赛B题_基于立创天空星开发板
25,【星火计划-悬赏赛道】MINI加热台-AtomHeat,https://oshwhub.com/dter/atomheat,https://pro.lceda.cn/editor#id=5dbbf18a91b9440b9e27fe19de37ff9d,_星火计划_悬赏赛道_MINI加热台_AtomHeat
26,交互式智能台灯,https://oshwhub.com/zz56464123455/lamp-wizard,https://pro.lceda.cn/editor#id=20c798c4a5a446dd80f391628fadfe2e,交互式智能台灯
27,立创·地文星CW32数字电压电流表扩展板,https://oshwhub.com/li-chuang-kai-fa-ban/cw32-shu-zi-dian-ya-dian-liu-biao-kai-fa-ban-tao-jian,https://pro.lceda.cn/editor#id=52c7c61c6f9245c7b58bd2b55911d5ae,立创·地文星CW32数字电压电流表扩展板
28,【星火计划】USB可编程电源/功率监测,https://oshwhub.com/bryan_he/usb_dc_ps,https://pro.lceda.cn/editor#id=ddcc963f6e234ee5b25bdf62d13c4a6b,_星火计划_USB可编程电源_功率监测
29,"【开源】立创器件收纳盒,纯PCB版本",https://oshwhub.com/jiajun.gao/li-chuang-qi-jian-shou-na-he,https://pro.lceda.cn/editor#id=f24ab5ae594a4e6abb6482158aa1031e,"_开源_立创器件收纳盒,纯PCB版本"
30,数字生命卡USB3.0,https://oshwhub.com/zerox650/shu-zi-sheng-ming-ka-usb3-0,https://pro.lceda.cn/editor#id=2ebcd483df5c452db8171cfb9d59d4ad,数字生命卡USB3.0
31,LeTian-robot2（轮腿机器人）,https://oshwhub.com/z.sir/letian-robot2,https://pro.lceda.cn/editor#id=63b2d16bc22145a89cf8bc5c9d9203d6,LeTian_robot2（轮腿机器人）
