类型,发布者,网页名称,网页,下载连接,文件名称
电脑主板,老吴,联想Lenovo U41-70 U31-70 集成独立显卡 LA-C311P 笔记本电脑主板P ,联想Lenovo U41-70 U31-70 集成独立显卡 LA-C311P 笔记本电脑主板P - 作品文件展(二级)_逆天PCB论坛_电子工程师的网络家园 (ntpcb.com),https://dl.dianzi168.net/attachment/forum/pw/Day_210312/22_9138_07f51aafa4b4140.7z,联想U31-70 AIVS3 AIVE LA-C311P.7z
电脑主板,老吴,[Pads_VX.2x] RK3368 挂一个FBGA178 DDR3+AW9961 平板电脑PCB文件共享,RK3368 挂一个FBGA178 DDR3+AW9961 平板电脑PCB文件共享 - 作品文件展(二级)_逆天PCB论坛_电子工程师的网络家园 (ntpcb.com),https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MTQwNzM4fGRmNWU1N2Q3fDE3MTk5Njk0Nzh8MTY2NzEzfDEzNDA4Mw%3D%3D&ck=fd4935f5,RK3368_V1.3.7z
电脑主板,老吴,[Allegro16.6以下] 8层 笔记本电脑主板PCB文件共享,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=120375&highlight=%E7%94%B5%E8%84%91,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MTIyOTU0fGViZDA1Mjc0fDE3MTk5Njk3NzB8MTY2NzEzfDEyMDM3NQ%3D%3D&ck=6a6e9667,TY642mbv2.7z
电脑主板,老吴,[Allegro16.6以下] Intel I7  QM77_StackPC OXY5535A（12层电脑主板）,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=142738&highlight=%E7%94%B5%E8%84%91,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MTUwMTg0fDk1OWYxOWY1fDE3MTk5NzAxMDV8MTY2NzEzfDE0MjczOA%3D%3D&ck=f934d6a3,OXY5535A.7z
电脑主板,老吴,"[Allegro16.6以下] 杰微采用intel N2930,J1900,J1800,E3815 做的电脑主板PCB 原理图 BIO",https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=160949&highlight=%E7%94%B5%E8%84%91,https://dl.dianzi168.net/attachment/forum/pw/Day_200712/22_9138_8128223eeab795b.7z,杰微intel_EL-10C.7z
电脑主板,老吴,[Allegro16.6以下] Intel Atom X7-Z8700 方案平板电脑PCB文件和原理图共享下载,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=133902&highlight=%E7%94%B5%E8%84%91,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MTQwNTI3fDY5YjQ2OTRjfDE3MTk5NzA3Nzl8MTY2NzEzfDEzMzkwMg%3D%3D&ck=7af49c1c,X7-Z8700.7z
电脑主板,老吴,[Allegro17.4以下] 戴尔高端机 dell precision 7540 工作站笔记本电脑PCB 原理图 BIN,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=169974&highlight=%E7%94%B5%E8%84%91,https://dl.dianzi168.net/attachment/forum/pw/Day_210320/22_9138_45ae202f6d1e001.7z,dell_precision_7540.7z
电脑主板,老吴,[Pads_VX.2x] RK3288挂4个DDR3 平板电脑PCB文件共享,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=144546&highlight=%E7%94%B5%E8%84%91,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MTUyMTE4fGZmOGY5MTgyfDE3MTk5NzE1NTV8MTY2NzEzfDE0NDU0Ng%3D%3D&ck=39775940,RK3288_4DDR3.7z
电脑主板,老吴,[Allegro16.6以下] Intel  HASWELL  平台电脑主板PCB和原理图,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=163866&highlight=%E7%94%B5%E8%84%91,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MTY5MjM4fDJhODViN2E5fDE3MTk5NzE3Njh8MTY2NzEzfDE2Mzg2Ng%3D%3D&ck=953bdbb1,HASWELL_brd_dsn.7z
电脑主板,老吴,[Allegro16.6以下] DELL E6410 笔记本电脑主板 PCB文件共享 10层设计,https://bbs.ntpcb.com/forum.php?mod=viewthread&tid=163078&highlight=%E7%94%B5%E8%84%91,https://bbs.ntpcb.com/forum.php?mod=attachment&aid=MTY4MzYwfDc4NDdmZDlifDE3MTk5NzE4Njl8MTY2NzEzfDE2MzA3OA%3D%3D&ck=efaa42d6,DELL_E6410.7z
