class,PN,number,description
晶振,,50,49s_TH_8Mhz_20pF
晶振,,50,49s_TH_12Mhz_20pF
晶振,,20,49s_SMD_8Mhz_20pF
晶振,,50,49smini_TH_11.0592Mhz_20pF
晶振,,50,td-26_TH_32.768Khz_20pF
晶振,,25,3515_SMD_11.0592Mhz_10pF
晶振,,25,3515_SMD_8Mhz_10pF
晶振,,25,3515_SMD_12Mhz_10pF
晶振,,5,3525_SMD_20Mhz_10pF
晶振,,5,3525_SMD_48Mhz_10pF
晶振,,5,3525_SMD_14.318Mhz_10pF
晶振,,5,3525_SMD_22.1184Mhz_10pF
晶振,,5,3525_SMD_30Mhz_10pF
晶振,,5,3525_SMD_24.576Mhz_10pF
晶振,,5,3525_SMD_25Mhz_10pF
晶振,,5,3525_SMD_13.52127Mhz_10pF
晶振,,5,3525_SMD_12.288Mhz_10pF
晶振,,5,3525_SMD_13.560Mhz_10pF
晶振,,5,3525_SMD_27Mhz_10pF
晶振,,5,3525_SMD_24Mhz_10pF
晶振,,5,3525_SMD_50Mhz_10pF
晶振,,5,3525_SMD_12Mhz_10pF
晶振,,5,3525_SMD_16Mhz_10pF
晶振,,5,3525_SMD_40Mhz_10pF
晶振,,5,3525_SMD_26Mhz_10pF
晶振,,5,3525_SMD_27.12Mhz_10pF
晶振,,5,3525_SMD_32Mhz_10pF
晶振,,5,3525_SMD_27.142Mhz_10pF
晶振,,10,5032_SMD_8Mhz_20pF
磁珠,,20,0805_SMD_0R_0.9A
磁珠,,20,0805_SMD_10R_0.9A
磁珠,,20,0805_SMD_30R_0.9A
磁珠,,20,0805_SMD_60R_0.9A
磁珠,,20,0805_SMD_68R_0.9A
磁珠,,20,0805_SMD_80R_0.9A
磁珠,,20,0805_SMD_100R_0.9A
磁珠,,20,0805_SMD_120R_0.9A
磁珠,,20,0805_SMD_150R_0.9A
磁珠,,20,0805_SMD_180R_0.9A
磁珠,,20,0805_SMD_220R_0.9A
磁珠,,20,0805_SMD_330R_0.9A
磁珠,,20,0805_SMD_470R_0.9A
磁珠,,20,0805_SMD_500R_0.9A
磁珠,,20,0805_SMD_600R_0.9A
磁珠,,20,0805_SMD_1000R_0.9A
电感,,20,1206_SMD_10nH
电感,,20,1206_SMD_47nH
电感,,20,1206_SMD_48nH
电感,,20,1206_SMD_68nH
电感,,20,1206_SMD_100nH
电感,,20,1206_SMD_220nH
电感,,20,1206_SMD_330nH
电感,,20,1206_SMD_470nH
电感,,20,1206_SMD_680nH
电感,,20,1206_SMD_820nH
电感,,20,1206_SMD_1uH
电感,,20,1206_SMD_2.2uH
电感,,20,1206_SMD_3.3uH
电感,,20,1206_SMD_4.7uH
电感,,20,1206_SMD_6.8uH
电感,,20,1206_SMD_10uH
自恢复保险丝,,10,1206_SMD_6V_3A
自恢复保险丝,,10,1206_SMD_6V_2A
自恢复保险丝,,10,1206_SMD_16V_2A
