class,PN,model
驱动芯片,ULN2003AN,N
音频解码,ES7210,
音频解码,ES8311,
音频IC,NS41508,
霍尔,AH3662_SOT-23-3L,
霍尔,A3144,
锂电池充电,TP4056,T
逻辑位移寄存器,74HC595D,
舵机驱动,FM116B,
脉搏心率,MAX3012EFD+T,
红外接收头,1838,
红外接收头,940nm,
磁性传感器,TLE5012BE1000,
直流马达驱动,TC1508S,
电荷泵,SGM3204YN6G/TR,
电源管理芯片,EA3036,
电池管理,CN3303,
电池管理,IP5306,
电机驱动,AT8236,
电子秤,HX711,
环境光传暗器,TEMT6000,
温湿度传感器,AHT20-F,
温度,DS18B20,
步进电机驱动,HR4988SQ,
无线发射,NRF24LE1E,
数码管0.56英寸,,
干簧管,磁控开关2*14mm,
天线,AN95220-245,
咪头,,
双向电压转化,TXS0108EPWR,
单向可控硅,MCR100-6TO-920.8A400V,
功率电子开关,sy6280aac,
六轴陀螺仪,MPU-6050,T
六轴陀螺仪,MPU-6500,T
六轴陀螺仪,QMI8658A,
光耦合器,TLP521-1,
光耦,EL817C,
信号开关/编解码器/多路复用器,ES8311,
低功耗蓝牙,NRF52810-QFAA-R,
位移,74HC595D_SOP16,
以太网控制芯片,RTL8211F-ME6211C33M5G,
以太网控制,SR9900A,
三轴加速度,ADXL345BCCZ-RL7,T
三轴加速度,QMA6100P,F
三相栅极驱动,FD6288Q,
vref,TL431,
usb控制芯片,usb3300-EZK,
usb接口_3.0type_卧式母座-弯脚卷口,USAF-091N-48LRC18,
usbhub,VL160,
usbhub,VL813Q76,
usb3.2type-c,母座16pin立式,
usb3.1type-c,24p_前插后贴母座,
usb2usart,ch340c,
usb2usart,ch340n,
usb2,SL2.1A,T
usb,ch340K_SOP-10,
usb,CH347T,
SW-520DHDX-2801震动,,
rs-232收发芯片,SP3232EEY,T
RS-485,MAX3485,T
port,A1257WR-S-2P,
NTC,MF5A-35K10K5%精,
MODEL,ESP32-c3-WROOM-02-N4,
mcu,GD32F105RCT6,
mcu,PY32F002A,T
mcu,CW32F030c8t6,
mcu,STM32F103c8t6,T
mcu,esp32-c3,
mcu,esp32-s3,
mcu,GD32f407VET6,
mcu,stm32f407vet6,
mcu,mega328pu,
mcu,STM32F103C8T6,
mcu,GD32F103VET6,
mcu,RP2040,
ldo,AMS1117-3.3V,T
ldo,ME6206A,T
ldo,ME6210A33PG,T
ldo,ME6211C33M5G-N,T
ldo,HT7550-1,T
ldo,KP3310SGA,F
ldo,RT9013-33GB,T
lcd,1602A_lcd显示屏5V1602液晶屏,
H桥电机驱动,DRV8837CDSGR,
fpga,PGC4KD-6ILPG144,
FLASHnand,W25N01GVZEIG,T
FLASH,GD25Q32CSIG,T
FLASH,W25Q80DVSSIG,T
DP协议,CH224K,
DDR3LSDRAMN,MT41K256M16TW-107:FBGA-96_4GB,
DC5.5*2.1,DC0005-2.1母座S7-2-1,
DB9,公头母头,
can总线收发,SN65HVD230DR,
buck-boost,XL6019E1,
buck-boost,XL6008E1,
buck,M3406-adj,
buck,mt3608l,
buck,MT2492,
buck,MT3540,
buck,MT2499A,
buck,XL1509-adj,
buck,TPS54335A,
buck,MP2307DN,
buck,TPS54331,
buck,XL7015E1,
buck,XL1410E1,
buck,MT3608,
buck,MT2492,
buck,XL4015E1,
buck,TPS54331DR,
buck,TPS565201DDCR,
buck,SY8089AAAC,
buck,MP1605GTF-z,
buck,TLV62568DBVR,
buck,LM2596S-.5V,
boost,tc3608h,
boost,sx1308,
ac-dc,DK501,
