RT7272BGSP, buck
EG11731,
HI9100, buck
HI8001, boost
HI9101, buck
HI9102, buck
HI9103, buck
ETA6002,
HI8000, boost
EG11731,
ETA6003,
NDP2450, buck
SCT12A1, boost
NDP1415RB, buck, TO252
EG1198, buck
SCT12A0, boost
EG1654A, PFC
ST16981, buck
EG1189, buck
TX4220, boost
SCT2650, buck
NDP1415RB, buck
TPP363080, buck
SY8370, buck
SGM6601, boost
MT1470,
TX4144, buck
TX4220, sepic
SDH8322, buck
LP6252, boost
SY7304, boost
XL7005,
ME3118, buck
XL1410, buck
XL1509, buck
MT3608, buck
RT7272B, buck
ME3116, buck
CX8901, 
XL2012, 
XL4015, buck
MT2492,
RY8411,
XL6019,
DK501, buck
SC8329, boost
XL7015, 
NAE12S20-c, buck
HT7179, boost
HT7181, boost
SCM1316AFA, buck
TPS62933DRLR, 
EG1192, 
TPS54530, buck
TPS56C230, 
XL7015,
XL7056, 
XL6008,
XL6019,
TPS54821, buck
TPS56637, buck
PL30502, boost
TPS54360, buck
XL6007, SEPIC+CUK
XL6007, 
TPS63070,
TPS54335ADRCR,
TPS62933DRLR,
TPS63000,buck-boost
SY8513,
TPS54331, 
U3220E,
XL1509Q,
XL1509,
XL1583,
TX4139,
SD4938,
SDH8322,
SY8303,
SY8388,
SGM6132,
SGM6232,
SY8156,
SY8105,
SD4938,
SSP7785,
SY6912,
SY7304,
SSP9480,
PW4040,
PW4203,
PW4053A,
RY9131,
SCT2A25,
OPA892,
RT6214,
RT6253,
RT7272B,
SCT2360,
HT7181,boost
PMP9778, boost
MT3410LB, buck
NDP1415,
NDP23A5QB,
MT2540,
MT3608L
MX6605Q
MX8015,
MT2499,
MP2307, 
SGM6232,
NDP2450, buck
MP9943, 
MP2236, buck
MK9118,
M3406,
MT3410,
SY8088,
ME2188C50,
LGS6302, boost, ESOP8
LMR33630ADDAR,
LM5117,
LP6221, boost
LGS6302, boost
LM27762,
CX8825,
EG1654, APFC
ETA2858, buck
LGS5523,
JW5026,
JW5116,
CN3303,
JW5015A,
CS5517T, buck-boost
LGS6302EP,
ETA2808,
